px[m],py[m],Bp,Bv,Bh,o,index,s
56.9175623805692,119.78119874167491,35.25178491783416,40.52422889293885,24.72602554339096,0,1685336687024.0,0.0
56.9120223218378,119.78087881757388,35.25178491783416,40.524417172379394,24.725309852725953,0,1685336687030.0,0.0
56.90404823482939,119.7819250558698,34.98117059720478,40.52443257979402,24.72550914911494,0,1685336687069.0,0.0
56.89411028842761,119.78558975136208,35.93329277285595,40.524272234144405,24.726732329435325,0,1685336687078.0,0.0
56.882531864193325,119.79283816203136,35.558432311226525,40.523937733228735,24.72792909575363,0,1685336687160.0,0.0
56.86983940793819,119.8034494750346,35.558432311226525,40.52341704997404,24.72942262413511,0,1685336687166.0,0.0
56.85489045969656,119.81634866685964,35.81084482877448,40.5319709531454,24.749749786617553,0,1685336687207.0,0.0
56.83744649147363,119.8304862000562,35.81084482877448,40.550546124025914,24.790713082362906,0,1685336687209.0,0.0
56.81755490546874,119.84477436105166,35.99324035745889,40.574800038954024,24.843889699350004,0,1685336687295.0,0.0
56.79620183807536,119.85855371783852,35.98850711335659,40.60742491182753,24.91465951281113,0,1685336687340.0,0.0
56.774670501778346,119.87115574907249,35.98850711335659,40.64311554497459,24.992185777478184,0,1685336687345.0,0.0
56.75460822505198,119.88215985729384,35.65788609169512,40.68168577201635,25.076139704600102,0,1685336687429.0,0.0
56.73750089018407,119.89226094708212,35.0502939620316,40.728251942783984,25.176874439164134,0,1685336687434.0,0.0
56.723941744315525,119.90150632491114,34.990282251042345,40.78186899903539,25.292473343020955,0,1685336687520.0,0.0
56.713951304072566,119.90947621135255,34.990282251042345,40.83589489343873,25.41006467223416,0,1685336687523.0,0.0
56.70707644929905,119.91508895882744,35.63085875908446,40.890534729368255,25.53012176754499,0,1685336687701.0,0.0
56.700781306646434,119.92015347078852,35.875225923533606,40.948499073132524,25.657867837371466,0,1685336687714.0,0.0
56.69903077215584,119.9240712072392,35.875225923533606,41.00827577370901,25.79040875589871,0,1685336687715.0,0.0
56.697018737498055,119.9276470691945,36.780141976790034,41.07532341710454,25.93849360072455,0,1685336687742.0,0.0
56.694270687097145,119.92905746598262,36.780141976790034,41.15011182089768,26.10306628842731,0,1685336687748.0,0.0
56.69178783693509,119.92970076127258,36.11561488335741,41.22878446906721,26.276624781670993,0,1685336687790.0,0.0
56.68965849884992,119.93047490587684,36.35773923446759,41.31267521660285,26.461819748328615,0,1685336687878.0,0.0
56.68896050371711,119.93075239712395,36.35773923446759,41.30332273368899,26.661030040873257,0,1685336687879.0,0.0
56.68564703382303,119.93188138722024,36.35773923446759,41.19029194176491,26.873949613915155,0,1685336687889.0,0.0
56.6817597535714,119.93321754868812,37.053682124531534,41.020670918533774,27.101611792933966,0,1685336687971.0,0.0
56.67712593975647,119.93516514856958,37.2057717462708,40.765774812996995,27.344738151056486,0,1685336687978.0,0.0
56.671674129522216,119.93816293122316,37.273984505837205,40.48120054332466,27.600587621177592,0,1685336688014.0,0.0
56.66517430640879,119.94275847702768,37.273984505837205,40.169050144108546,27.869565611102836,0,1685336688021.0,0.0
56.65923978022539,119.94735061290656,35.56977006466967,39.77529421296132,28.153863885682785,0,1685336688149.0,1.0
56.65707118403613,119.94917935542574,35.56977006466967,39.30985880227176,28.45320294172162,0,1685336688150.0,1.0
56.6450419250648,119.95870628274278,35.56977006466967,38.84496213437587,28.76913114758012,0,1685336688152.0,1.0
56.62595055807421,119.9731286816511,33.13313959327053,38.37862761888954,29.102282424095158,0,1685336688196.0,1.0
56.60242568741389,119.99285883311322,33.13313959327053,37.88122435390379,29.451997873380595,0,1685336688202.0,1.0
56.57634732444677,120.01680776210335,30.34636153921403,37.36930588585397,29.818993044755945,0,1685336688287.0,1.0
56.54564266180449,120.0448662140941,30.34636153921403,36.784101572806335,30.203466476660648,0,1685336688289.0,1.0
56.50904775560494,120.07459983873385,29.779028313099516,36.120593731000696,30.605690890755564,0,1685336688330.0,1.0
56.46816308751967,120.10404668742493,30.117285770034755,35.42059557369542,31.02641525922512,0,1685336688374.0,1.0
56.42542743079615,120.13402755954432,29.18699396058858,34.66981170920776,31.46596086916013,0,1685336688418.0,1.0
56.38281610850749,120.16445364439711,29.936208581527765,34.106681520592176,31.814097617522044,0,1685336688462.0,1.0
56.343825040107646,120.19424301782507,29.936208581527765,33.759102431469614,32.05988540490393,0,1685336688468.0,1.0
56.31216907555017,120.2191741020365,30.911742624615513,33.50426186369615,32.25536837586232,0,1685336688555.0,1.0
56.29149388098279,120.2372748958959,30.911742624615513,33.41171015271638,32.36873329471879,0,1685336688561.0,1.0
56.2783863164414,120.24806819298936,30.74232294741904,33.35311772741099,32.46370475825573,0,1685336688645.0,1.0
56.273250777719554,120.25640493411105,30.74232294741904,33.32174772505353,32.54280528676211,0,1685336688651.0,1.0
56.26813183764291,120.26492032209222,30.616164071202945,33.444848323258256,32.5452412736154,0,1685336688688.0,1.0
